index,iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
1266,OWID_AFR,Africa,2021-11-12,8554596.0,3275.0,3993.0,220394.0,154.0,170.429,6228.38,2.384,2.907,160.463,0.112,0.124,,,,,,,,,,,,,,,,,,,209788026.0,130945095.0,87750998.0,233093.0,325743.0,1002117.0,15.27,9.53,6.39,0.02,730.0,,1373486472.0,,,,,,,,,,,,,,,,,,
6830,OWID_ASI,Asia,2021-11-12,80530159.0,94467.0,93663.714,1193468.0,1638.0,1434.143,17213.018,20.192,20.02,255.099,0.35,0.307,,,,,,,,,,,,,,,,,,,5044863532.0,2773347294.0,2103276043.0,65751313.0,22656672.0,22787618.0,107.83,59.28,44.96,1.41,4871.0,,4678444992.0,,,,,,,,,,,,,,,,,,
39727,OWID_EUR,Europe,2021-11-12,68171123.0,311411.0,275558.0,1351313.0,3819.0,3702.714,91020.684,415.79,367.919,1804.245,5.099,4.944,,,,,,,,,,,,,,,,,,,890035405.0,455626646.0,420565729.0,34472879.0,2078016.0,2381983.0,118.84,60.83,56.15,4.6,3180.0,,748962983.0,,,,,,,,,,,,,,,,,,
40387,OWID_EUN,European Union,2021-11-12,42128459.0,192894.0,164695.714,815678.0,1453.0,1445.286,94207.086,431.347,368.29,1824.008,3.249,3.232,,,,,,,,,,,,,,,,,,,606451103.0,311158246.0,295754141.0,19022766.0,974088.0,1103984.0,135.61,69.58,66.14,4.25,2469.0,,447189915.0,,,,,,,,,,,,,,,,,,
51910,OWID_HIC,High income,2021-11-12,107903756.0,385783.0,288448.286,1784342.0,3753.0,2358.857,88814.776,317.535,237.42,1468.679,3.089,1.942,,,,,,,,,,,,,,,,,,,1733740768.0,881557579.0,804462897.0,76653543.0,2038798.0,3351792.0,142.7,72.56,66.21,6.31,2759.0,,1214930230.0,,,,,,,,,,,,,,,,,,
56347,OWID_INT,International,2021-11-12,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70696,OWID_LIC,Low income,2021-11-12,1366540.0,700.0,909.714,36813.0,26.0,35.0,2054.487,1.052,1.368,55.345,0.039,0.053,,,,,,,,,,,,,,,,,,,43570899.0,29657540.0,15421026.0,,5242.0,338153.0,6.55,4.46,2.32,,508.0,,665149040.0,,,,,,,,,,,,,,,,,,
71357,OWID_LMC,Lower middle income,2021-11-12,62811822.0,65402.0,61310.429,1126657.0,1941.0,1699.571,18858.713,19.636,18.408,338.269,0.583,0.51,,,,,,,,,,,,,,,,,,,2121527328.0,1350693589.0,774872930.0,3394582.0,12753566.0,12899395.0,63.7,40.55,23.26,0.1,3873.0,,3330652550.0,,,,,,,,,,,,,,,,,,
88534,OWID_NAM,North America,2021-11-12,56378740.0,148165.0,88989.429,1146387.0,2634.0,1496.857,94503.032,248.357,149.166,1921.594,4.415,2.509,,,,,,,,,,,,,,,,,,,710276711.0,372184780.0,317429570.0,30238702.0,402191.0,1239419.0,119.06,62.39,53.21,5.07,2078.0,,596581283.0,,,,,,,,,,,,,,,,,,
90747,OWID_OCE,Oceania,2021-11-12,282045.0,1918.0,1742.286,3020.0,19.0,14.714,6525.805,44.378,40.312,69.875,0.44,0.34,,,,,,,,,,,,,,,,,,,47574496.0,24942888.0,22380315.0,251293.0,229267.0,169511.0,110.08,57.71,51.78,0.58,3922.0,,43219954.0,,,,,,,,,,,,,,,,,,
110655,OWID_SAM,South America,2021-11-12,38608105.0,26107.0,20204.857,1174411.0,393.0,336.286,88905.478,60.118,46.527,2704.395,0.905,0.774,,,,,,,,,,,,,,,,,,,550928813.0,305039460.0,236911065.0,20411659.0,11872379.0,3518160.0,126.87,70.24,54.56,4.7,8102.0,,434260137.0,,,,,,,,,,,,,,,,,,
126717,OWID_UMC,Upper middle income,2021-11-12,80442623.0,133458.0,133482.857,2141181.0,2937.0,3061.714,32002.026,53.093,53.103,851.814,1.168,1.218,,,,,,,,,,,,,,,,,,,3554563435.0,1800143529.0,1593526240.0,71310814.0,22766662.0,14509349.0,141.41,71.61,63.39,2.84,5772.0,,2513672790.0,,,,,,,,,,,,,,,,,,
131081,OWID_WRL,World,2021-11-12,252526354.0,585343.0,484151.286,5089008.0,8657.0,7155.143,32066.978,74.33,61.48,646.226,1.099,0.909,,,,,,,,,,,,,,,,,,,7453466983.0,4062086163.0,3188313720.0,151358939.0,37564268.0,31098808.0,94.65,51.58,40.49,1.92,3949.0,,7874965730.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
